zone_risk,rain,aqi,traffic,claims,consistency,waterlogging_history,forecast_rain_48h,forecast_aqi_48h,coverage_hours,premium
61,92,320,8,4,0.7984250789732434,82,86,380,24,28.0
84,87,149,8,2,0.5102922471479012,1,87,343,24,28.0
11,63,326,1,3,0.8058265802441404,88,48,108,24,28.0
51,91,237,3,3,0.7571172192068059,63,2,356,24,28.0
16,20,378,7,1,0.9744427686266666,59,13,291,24,28.0
18,89,102,2,3,0.6205127330130058,59,70,313,24,28.0
56,34,255,1,3,0.5911180438940311,3,1,103,8,24.12
13,53,240,2,1,0.7248770666848828,73,61,319,24,28.0
57,14,264,9,4,0.6943386448447411,81,52,329,24,28.0
35,88,301,9,4,0.9010984903770198,64,88,376,24,28.0
18,87,178,8,2,0.5994212020444025,7,34,338,24,28.0
14,40,77,7,0,0.811649063413779,33,32,97,24,22.63
32,61,265,5,2,0.7956488938538635,85,90,84,24,28.0
74,98,150,3,0,0.8608647605824367,13,26,256,24,25.36
24,89,91,3,0,0.6571779905381634,95,3,271,24,24.48
32,14,220,4,4,0.5384899549143964,58,85,333,24,28.0
75,41,94,9,4,0.9357302950938589,27,43,389,24,28.0
39,61,380,7,3,0.6781489190384875,61,96,332,24,28.0
71,76,282,3,2,0.7087055015743895,36,96,356,24,28.0
53,23,364,6,0,0.7019180855290204,61,57,101,24,28.0
21,38,162,5,0,0.9988702425244709,58,1,179,16,21.89
63,86,273,1,0,0.6197809453334862,1,52,221,24,24.27
99,31,247,7,3,0.5404266631663577,55,16,304,24,28.0
47,23,374,4,1,0.8167648553804474,10,15,146,16,25.56
82,58,375,3,3,0.6629794526009424,35,18,395,24,28.0
76,18,197,7,3,0.970261632244802,39,38,387,24,28.0
10,10,200,3,3,0.587477463547968,59,1,353,24,27.98
21,68,86,7,0,0.6394356762960909,18,47,257,24,25.22
12,19,201,6,0,0.8210158230771438,74,71,153,24,27.18
93,98,161,9,2,0.9868319183776586,17,81,243,24,28.0
63,34,257,9,3,0.8560896106737679,32,13,326,24,28.0
57,19,184,3,0,0.6540303959261946,47,75,71,24,25.9
